언어표현,분류,유형,품사,의미,예문,비고
그림쟁이,비어,직업,명사,화가,그림쟁이들은 말에 굶주린 치들 아냐? (김원우: 짐승의 시간),
글쟁이,비어,직업,명사,글을 전문으로 쓰는 사람,"사이코라니? 자네가 좋아하는 그 글쟁이 일본 여자? (홍성원: 그러나, 1995)",
금광쟁이,비어,직업,명사,금광에 들어가 금을 파내는 것을 업으로 하는 사람이나 금광업을 경영하는 사람,,
금수,맥락,,명사,사람 됨됨이가 형편없는 사람,"아무리 무엄하고 지각없는 놈이기로 여기 와서 음식 투정에 타박까지 하다니, 네놈은 금수다. (김주영: 객주5, 1982)",
금장이,비어,직업,명사,금은을 세공하는 사람,금장이 금 불리듯 (속담),
금쟁이,비어,직업,명사,금광에 들어가 금을 파내는 것을 업으로 하는 사람이나 금광업을 경영하는 사람,"참말이지 금쟁이치고 하나 순한 놈 못봤다 (김유정: 노다지, 1935)",
기생오라비,비어,언행,명사,기생의 오빠나 남동생처럼 일은 안하고 모양만 내고 다니는 사람,"함께 손을 든 아이는 내가 싫어하는 기생오라(래)비였다. (강석경: 폐구, 1982)",
기집,비어,지위,명사,(낮추어) 여자 또는 아내,,
기집,비어,지위,명사,계집'의 큰 말,"누님, 전 기집이구 새끼구 다 죽여 읎애구 나서 저두 죽구 싶어유. (유재용: 기억 속의 집, 1983)",
기집질,비어,행동,명사,계집질'의 큰 말,"그랬더니 웬걸, 취직해서 돈푼 들오기 시작하니까, 뭐야, 기집질이야? (박영한: 우묵배미의 사랑, 1989)",
까까중,비어,외모,명사,머리를 빡빡 깎은 사람을 놀리어 하는 말,머리가 까까중인것으로 미루어 그는 틀림없는 적군이었다. (홍성원: 육이오),
까막눈이,비어,지력,명사,무식한 사람,까막눈이의 설움을 느끼다.,
까짓년,욕설,지위/태도,명사,하찮은 일이나 여자,"아 까짓년, 때려죽여두 시원찮은 판인데, 내쫓아 버리면 되지요. (황석영: 돼지꿈, 1973)",
까짓놈,욕설,지위/태도,명사,하찮은 일이나 남자,,
깍두기,맥락,,명,(속되게) 나막신,깍두기 신세.,
깍쟁이,비어,태도,명사,아주 인색하고 약은 사람,"리게 뵈지만 여간 깍쟁이가 아닙니다.(박경리, 토지)",
깍쟁이년,욕설,지위/태도,명사,아주 인색한 여자,"요런 깍쟁(정)이년의 기집애두 그래 세상에 있수? (박태원: 성탄제, 1948)",
깍쟁이놈,욕설,지위/태도,명사,아주 인색한 남자,"요런 어림없는 위인들을 보았나? 내가 허수히 잡도리할 성싶은가? 조산 깍쟁(정)이놈들이라도 나라면 괄시를 못해. (김주영: 객주4, 1981)",
깍쟁이질,욕설,행동,명사,아주 인색하게 구는 행위,"애비 없이 이만큼 키워 왔는데두 에미 공은 모를망정 밤낮 나가서 깍쟁(정)이질이나 하구 다니니. (황석영: 어둠의 자식들, 1980)",
깐년,욕설,지위/태도,명사,까짓년의 준말,,
깐놈,욕설,지위/태도,명사,까짓놈의 준말,"아직 나는 내가 할 말을 찾지 못했을 뿐이지 깐놈들보다야 형운의 낙서가 되레 그럴듯하거든 (선우휘 : 깃발 없는 기수, 1959)",
깔치,비어,이성교제/지위,명사,"여자, 창녀","사랑한다면 넌 그렇게 이 깔치 저 계집애 닥치는 대루 잡숴 댈 수 있느냐 말야. (류주현: 장씨 일가, 1959)",빈도 확인
깜둥이,비어,외모/출신,명사,살 빛이 까만 사람,"그 어린 것이 깜둥이들의 씨라는 실로 말 같지도 않은 욕을 퍼댈 때마다 나는 시어머님의 그 독이 오른 얼굴을 빤히 쳐다볼 뿐 아무런 말도 나오지 않았다. (전상국: 아베의 가족, 1979)",
깜상,비어,외모,명사,피부가 검은 사람,"백인들을 낮춰 부르는 말이 '흰둥이', '양코배기', '코쟁이' 정도인 데 비해 흑인들을 낮춰 부르는 말은 '깜둥이', '깜상', '먹통', '밤중', '땟국' 등으로 더 많았따. (조정래: 태백산맥9, 1989)",
깜씨,비어,외모,명사,피부가 검은 사람,"창신동 깜씨네다 짱박아 놓구, 밥이며 빨래일 좀 시키면서 데리구 살려는 참이다. (황석영: 어둠의 자식들, 1980)",
깜치,비어,외모,명사,피부가 검은 사람,,
깡뚱발이,비어,언행,명사,(홀하게)침착하지 못하고 경솔하게 행동하는 사람,너 깡뚱발이로구나.,
깡부리다,비어,행동,동사,(속되게)악착같은 성질이나 오기를 내다.,어설프게 깡부리지마,
깡순이,비어,태도,명사,(홀하게)악착같은 오기가 있는 여자.,깡순이들의 투쟁의 기나긴 막이 올랐다.,
깡짜,비어,행동,명사,(속되게)심술을 부리어 남을 해롭게 하는 일 /(속되게) 강도,깡짜가 세다.,
깡통,맥락,,명사,(낮잡아)아는 것이 없이 머리가 텅 빈 사람 /(낮잡아)소식 따위를 전혀 모르는 것 /(속되게)마누라 /(속되게) 깡패.,소식이 깡통이다.,
깨꾸똘마니,비어,직업,명사,(속되게)구두닦이 심부름꾼.,깨꾸똘마니로 있으면서 찍새를 하고있다.,
깨꾸밀이,비어,직업,명사,(속되게)구두닦이,더러운 구두를 깨꾸밀이에게 부탁했다.,
깽비리,비어,외모,명사,(얕잡아)마르고 작은 사람.,내친구는 너무 깽비리해.,
꺼렁배,비어,언행,명사,(낮추어)거지,,
꺼먹둥이,비어,외모/출신,명사,깜상,꺼먹둥이도 한가락 할 줄을 아는 모양이다,
꺼묵이,비어,직업,명사,(낮잡아)광부,꺼묵이들은 석탄을 캐고있다.,
꺼벙이,비어,지력,명사,(홀하게)행동이 흐릿하고 투미한 사람.,저 꺼벙이 이제야 오네,
껄렁이,비어,언행,명사,(홀하게)말이나 행동이 미덥지 않은 사람.,껄렁이 처럼 보인다.,
껄렁패,비어,언행,명사,(낮잡아)말이나 행동이 미덥지 않고 나쁜 짓을 하는 무리.,껄렁패들이 몰려왔다.,
껌뎅이,비어,외모/출신,명사,껌둥이,얼굴색이 껌뎅이 같네,
껌둥이,비어,외모/출신,명사,검둥이'의 센말'= 껌뎅이.,껌둥이처럼 얼굴이 까맣다.,
껑더리,비어,외모,명사,(홀하게)심한 병고로 몸이 몹시 야윈 사람.,껑더리처럼 우두커니 서있다,
꼬라지,비어,추상물,명사,"(얕잡아)사람의 모양이나 처지,또는 형편'= 꼬락지 /(얕잡아)사물의 생김새 /(얕잡아)옷매무새",삐진 꼬라지 하고는,
꼬라지값,비어,태도,명사,(빈정거려)변변치 못한 사람.,꼬라지값 하고는,
꼬락서니,비어,추상물,명사,(낮잡아) 사람의 생김새나 처지.'= 꼴딱서니 /(낮잡아)사람의 행위 /(낮잡아)집안 형편.,니 꼬락서니를 봐라,
꼬락지,비어,추상물,명사,꼬라지,그 꼬락지가 생각난다.,
꼬부랑이,욕설,연령/외모,명사,(홀하게)늙어서 등이 굽은 사람.,,
꼬부랑자지,비어,성적부위,명사,(농으로)끝이 꼬부라진 남자의 성기.,,
꼬붕,비어,지위,명사,(속되게)부하 /(속되게)상관,우리 꼬붕이는 경상도 사람이다.,
꼭쇠,비어,태도,명사,깍쟁이,꼭쇠같으니라고.,
꼰대,욕설,연령/지위,명사,(속되게)아버지 /(속되게)나이든 어른 /(속되게)상관 /(속되게)선생님,저 꼰대 또 술마신다.,
꼴값,비어,행동,명사,"꼴에 어울리는 값'이라는 뜻으로, '잘난 체하는 것'을 빈정거려 이르는 말.",꼴값 떨고 있다,
꼴값하다,비어,행동,동사,(비꼬아)주제도 모르고 경우 없이 잘난 체하다 /(비꼬아)하는 행동이 같잖다'= 감싸다,꼴값을해도 유분수지 이렇게 망신을 시키냐,
꼴같잖다,비어,묘사,형용사,(욕으로)시시하고 못마땅하다.,생긴게 꼴같잖아,
꼴딱서니,비어,추상물,명사,꼬락서니,니꼴이 딱 그 꼴딱서니다,
꼴뚜기질,욕설,행동,명사,(낮추어)주먹 쥐고 가운뎃손가락을 펴 사람을 놀리는 짓.,손가락으로 꼴뚜기질을 했다.,
꼴망태,욕설,태도,명사,(욕으로)변변치 못한 사람,,
꼴상,속어,일반부위,명사,(속되게)얼굴,꼴상이 안좋다,
꼴초,비어,언행,명사,골초'의 센말,내친구는 꼴초다,
꼴통,속어,일반부위/지력언행,명사,골통'의 센말.,넌 정말 꼴통이야,
꼴통부리다,비어,행동,동사,꼴통죽이다.,너 왜 꼴통을부려,
꼴통죽이다,비어,행동,동사,(속되게)말썽을 부리다'= 꼴통부리다,밖에서 꼴통죽이지 마라,
꼴통짓거리,비어,행동,명사,(낮잡아)심하게 말썽을 일으키는 일,아침부터 꼴통짓거리를 하는구나,
꼼냥이,비어,태도,명사,(홀하게)몹시 인색한 사람,,
꼼치,비어,외모,명사,(홀하게)키가 작은 사람,넌 참 꼼치 같다,
꼽살이,비어,외모,명사,(홀하게)키가 매우 작은 사람.,,
꽁다리,비어,외모,명사,(개천 지방에서)짝다리를 놀리어 일컫는 말 /(속되게)짤막하게 남은 동강이나 끄트머리,김밥 꽁다리가 남았다,
꽁대,속어,일반부위,명사,(속되게)엉덩이,꽁대를 맞았다,
꽁무니,속어,일반부위,명사,(속되게)엉덩이,꽁무니차고 도망갔다,
꽁생원,욕설,태도,명사,(욕으로)고루한 사람,,
꽃뱀,비어,이성교제,명사,(속되게)남자에 접근하여 돈을 우려내는 여자,저 여자 꽃뱀으로 유명해,
끝장나다,속어,행동,동사,(속되게) 죽다 /(속되게) 일이 실패로 끝나다,,
나가뒈지다,속어,명령,동사,뒈지다'를 강조하는 말,지금 낭장 나가 뒈져. 이 개만도 못한 새끼,
나가뒤지다,속어,명령,동사,= 나가뒈지다,"에잇 이런 못난 놈, 나가뒤져라",
나가떨어지다,속어,명령,동사,(속되게) 심신이 녹초가 되다 /(속되게) 어떤 일에 크게 실패하다,,
나간이,비어,지력,명사,(홀하게)정신이 나간 사람,말하자면 조선 팔도의 사내란 사내들은 이 후리네 하나 때문에 모두 나간이가 아니면 뺑뺑이가 되는 거라,빈도 확인
나귀쇠,비어,직업,명사,(놀이패에서) 짐꾼,"곰뱅이쇠는 식화주를 선단의 화장에게 보내어 저녁 지을 곡식을 구처해 오게 하는 일변 저승패, 나귀쇠, 뜬쇠 할 것 없이 행중을 휘동하여 배에 실었던 풍각 제구들을 하륙 시키었다.",빈도확인
나까마,비어,직업,명사,(불량배들이)중간 소개업자,늙은 나까마들 틈에서 젊은 틈에서나 공평하게 허벅지와 엉덩이를 내맡긴 채 까르르까르르 웃음을 터뜨리는 배 마담을 나는 물끄러미 바라보았다.,빈도확인
나꾸러기,비어,연령,명사,(낮잡아) 나이배기,,빈도 확인
나발,맥락,,명사,(속되게) 당찮은 말이나 그런 말을 하는 일 /('~고 나발이고'꼴로 쓰여) 선행하는 대상을 욕으로 이르는 말,"""쇠귀에 경 읽기도 분수가 있지 무슨 나발이람!"", ""연극이고 나발이고, 체면이고 나발이고""",
나발대다,비어,행동,동사,(속되게) 수다스럽게 자꾸 지껄이다,,
나발불다,비어,행동,동사,(속되게) 당찮은 말을 함부로 떠벌리다. /(속되게) 과장하여 말하다. ➂ 어린아이가 소리내어 울다. ➃(속되게) 비밀을 폭로하다 ➄(속되게) 술 따위를 명째로 마시다,,
나발통,맥락,,명사,나발'의 힘준말,나발통 들고 돌아댕기는 저 작자들 말을 누가 믿겄소?,
나부랭이,비어,구체물/태도,명사,(얕잡아) 하찮고 자질구레한 사람이나 물건,"유행가 나부랭이나 비명을 허구, 그게 기생들이며 그게 놀 줄 아는 사람들인가?",
나부럭지,비어,구체물/태도,명사,= 나부랭이,보이지도 않는 귀신 나부럭지니 우주 따위,
나이배기,비어,연령,명사,(홀하게) 보기보다 나이가 많은 사람,,빈도 확인
나잇살,맥락,,명사,(낮잡아) 지긋한 나이,나잇살이나 처먹은 새끼가 말귀도 엇어,
나자빠지다,비어,행동,동사,(속되게) 뒤로 넘어지다 /(속되게) 해야 할 일을 하지 않고 버티다 ➂(속되게) 아무 일도 안 하고 그냥 있다. ,저기 갯벌로 내려와서 벌렁 나자빠지는 논다니의 달덩이 같은 사추리가 허옇게 나오는 게 보이지 않는감?,
나지미,속어,지위,명사,(속되게) 단골 손님,"""이화 언니! 당신 나지미 왔소. 어서 나오""",빈도 확인
나팔,맥락,,명사,삐끼 /'나발'의 센 말,나두 몇 번 '나팔' 애들의 시비를 붙는 경우를 겪었지,
나팔불다,맥락,,동사,나발불다'의 센말,,
낙방거사,비어,지력,명사,(놀리어) 시험에 많이 떨어진 사람,개놈의 낙방거사!,빈도 확인
난놈,비어,지력,명사,어떤 일을 잘하는 사람을 부정적으로 빈정거려 이르는 말,참 니가 난놈이다.,
난뎃놈,욕설,출신,명사,(욕으로) 외지에서 온 사람,인적이 드문 야밤이기로서니 난뎃(데) 놈이 제 용력만 믿고 행인에게 상관없이 굴다니?,빈도 확인
난봉꾼,비어,언행/이성교제,명사,(홀하게) 하랑방탕한 짓을 하는 사람,,
난봉쟁이,비어,언행/이성교제,명사,= 난봉꾼,,
난장맞다,욕설,묘사,동사,못마땅한 사람에게 욕으로 하는 말,혹은 김첨지도 이 불길한 침묵을 짐작했는지도 모른다.,빈도확인
난전붙이,비어,태도,명사,(홀하게) 변변치 못한 사람,너희는 그깐 난전붙이 한 놈 배송 낼 재간도 없더란 말이냐?,빈도확인
난질꾼,비어,언행/이성교제,명사,(홀하게) 술과 색에 빠져 방탕하게 노는 사람,,빈도 확인
난탕질당하다,비어,행동,동사,(속되게) 한바탕 난리를 당하다,작살이나 대창에 난탕질당한 가슴가 뱃구레,
날강도,비어,언행/직업,명사,(욕으로) 아주 악독한 강도,,
날건달,비어,언행,명사,(욕으로) 아주 지독한 건달,돈푼이나 만들어지면 부랄만 두 쪽뿐인 날건달일지라도 좀더 젊은 서방을 해 가고픈 게 속일수 없는 진실 같았다.,
날구라,비어,추상물,명사,(속되게) 지독한 거짓말,구라도 그냥 구라가 아니라 날구라 같애,
날도둑놈,욕설,언행/직업,명사,(욕으로) 아주 지독한 도둑놈 '=  날도적놈,세상에 그래 이런 날도둑놈들이 있나,
날도적놈,욕설,언행/직업,명사,= 날도둑놈,그놈 날 도적놈!,
날라리,비어,언행,명사,(낮잡아) 언행이 어설프고 제멋대로인 사람 /(낮잡아) 제대로 하지 않고 아무렇게나 하는 일이나 단체 ➂(낮잡아) 우스꽝스러운 유행가,뒤에야 알았지만 나를 채용한 것은 그의 아내와 배달 책임자로 있는 통칭 '날라리'라고 불리는 그의 매부 되는 사람이었다.,
날라리뽕,비어,태도,명사,(욕으로) 행실이 변변치 못한 사람,에에라 자석덜아 날라리뽕이다.,
날라리판,비어,추상물,명사,(욕으로) 아주 형편없는 판,지상은 날라리판이었다.,
날장구치다,비어,행동,동사,(조롱하여) 공연히 쓸데없는 일을 하다,,빈도 확인
날짜,맥락,,명사,(낮잡아) 일에 익숙지 못한 사람 /'= 낮털이,,빈도 확인
날품,비어,직업,명사,날품팔이'의 준말,대위가 뒤편의 날품들을 돌아보고 나서 목소리를 낮추었다.,
날품팔이,비어,직업,명사,(홀하게) 날마다 품을 팔아 살아가는 사람,,
낡은이,비어,연령,명사,(얕잡아) 늙은이,,
남북돌아이,욕설,지력,명사,(조롱하여) 남북 문제로 인해 정신병자가 된 사람,,빈도 확인
남산골딱깔발이,비어,언행,명사,(속되게) 가난한 선비,,
남산골샌님,비어,태도,명사,(비웃어) 가난하면서도 선비의 오기만 남은 사람,,
납살이,비어,태도,명사,(홀하게) 사람으로서 쓸모가 없는 사람,,
납작자지,욕설,성적부위,명사,(농으로) 여자의 음부,,
낫살,비어,추상물,명사,나잇살'이 준말,그 낫살에 계집이라면 정신을 못 차리는 더러운 녀석'일 뿐이었다.,
낭한,비어,언행,명사,(낮추어) 행랑살이 하는 사람,,
낮거리,비어,행동,명사,(속되게) 낮에 하는 성교,그래 견디고 견디다가 점심 시간에 집으로 달려가서 즈봉도 벗지 않은 채 그 부분의 단추만을 끄르고 아내와 낮거리를 했다.,빈도 확인
낮도둑,비어,태도,명사,(욕으로) 염치없이 욕심부리는 사람,,
낮털이,비어,직업,명사,(홀하게) 낮에 활동하는 도둑,"""웃기지 마 자식아. 넌 전화기 수리를 가장한 낮털이잖아.""",
낮티,비어,직업,명사,= 낮털이,,
낯가죽,속어,일반부위,명사,(낮잡아) 얼굴 '=  면피,"낯가죽이 삔둥삔둥해서 천생 가야 늙지 않으리라던 꾀보 강출길이는 허리가 굽었고, 우스갯소리 잘하던 오털털이 오기준이는 머리가 바가지 등이 되었고…",
낯깔,속어,일반부위,명사,(속되게) 얼굴의 생김새,낯깔과 붙임성이 좋은 순덕이는 아무데서나 먹을 것을 듬뿍듬뿍 얻어 오곤 하였다.,
낯바닥,속어,일반부위,명사,(비속하게) 낯,낯바닥에 주먹을 한 대 안겨 놓고 싶은 것을 간신히 참았지,
낯바대기,속어,일반부위,명사,= 낯바닥,까만 낯바대기에 분배기를 칠한다.,빈도 확인
낯박살내다,비어,행동,동사,(속되게) 혼을 내서 낯을 못 들게 만들다,닦아세우고 낯박살을 내기 좋은 구실이 된 것이다,
낯반대기,속어,일반부위,명사,= 낯낯반대기에다 침을 뱉어 버리겠읍니다.,,
낯빤대기,속어,일반부위,명사,낯반대기'의 센말,낯빤대기에는 쇠가죽을 한 꺼풀 뒤집어써야 할 것인디,
낯빼기,속어,일반부위,명사,(비속하게) 낯,,
낯짝,속어,일반부위,명사,(낯주어) 낯/(낯주어) 면목이나 체면 ➂(낮추어) 사람이나 물건의 모양이나 상태,,
낯짝값,비어,추상물,명사,(낮추어) 얼굴값,,
낯짝배기,속어,일반부위,명사,(낮추어) 얼굴값,낯짝배기가 죽사발 개 훑어 놓은 것처럼 생겨가지구..,
낯통,속어,일반부위,명사,(속되게) 낯,저놈들이야말로 날짐승의 낯통을 더럽히는 쌍놈들이구나,
낯판,속어,일반부위,명사,(비속하게) 낯,,
낯판대기,속어,일반부위,명사,(낮추어) 낯,그 얄랑한 낯판대기를 갖다 비비며,
낳아제끼다,비어,행동,동사,(속되게) 낳다,씨 모를 자식만 낳아제끼다.,
내갈기다,비어,행동,동사,내깔기다'의 여린말,나를 보자 병삼은 쌍시옷자를 내갈기며 시국시죽 다가와 말을 붙였다.,
내깔기다,비어,행동,동사,(속되게) 말을 나오는 대로 함부로 하다 /(속되게) 글을 아무렇게나 쓰다 ➂(속되게) 침 따위를 마구 뱉다,그는 논바닥에다 못짐을 팽개치며 일꾼들 듣는 데서도 예사로 픽픽 내깔기기 일쑤였다.,
내꼰지다,비어,행동,동사,(속되게) 내버리다,골김에 흙을 되는 대로 내꼰지고는 침을 탁 뱉고 구뎅이로 들어간다.,
내라이,욕설,감탄,감탄사,못마땅하고 마음에 안 들 때 홀로 욕으로 하는 말,내라이 순!,
내려조기다,비어,행동,동사,(속되게) 마구 두들겨 으스러지게 하다,,빈도 확인
내리까다,비어,행동,동사,(속되게) 헐뜯어 사정없이 공격하다,,빈도 확인
내리섬기다,맥락,,동사,(속되게) 이 소리 저 소리를 잇달아 하다,이놈! 꼭 집어 말을 하라면 위에서 아래로 내리 섬기마.,빈도 확인
내발기다,비어,행동,동사,(속되게) 마음이나 태도가 겉으로 드러나다 /(속되게) 아무 준비도 없이 밖을 ㅗ쫒다,때때로 춤도 추지만 그러는 일은 거의 드물고 그저 가끔 고약하게 인상이나 내발기며 깊숙이 들어앉아 천천히 잔을 기울이는 게 보통 일이 없을 때의 우리들의 술 마시는 폼이었다.,빈도 확인
내숭까다,비어,행동,동사,= 내숭 떨다,,
내숭떨다,비어,행동,동사,(비꼬아) 겉은 그렇지 않으나 속으로는 엉큼한 행동이나 계산을 따로 하다,나는 내숭을 떤다든가 똥따리를 붙이는 일은 정 못하겠읍디다.,
내숭쟁이,비어,태도,명사,(홀하게) 내숭을 잘 떠는 사람,무엇보다 내숭쟁이 같은 제 이미지를 완전히 바꿀 수 있으니까요,
내씹다,비어,행동,동사,(속되게) 말하다,고씨더러 노상 두고 하는 욕을 강하듯 내씹고 있었읍니다.,
냄비,맥락,,명사,(놀리어) 계집아이 /(놀리어) 여자 음부,,빈도 확인
널감,비어,연령,명사,(낮잡아) 죽을 때가 가까워진 늙은이,,빈도 확인
넓적이,비어,외모,명사,(홀하게) 얼굴이 넓적한 사람,,
넓죽이,비어,외모,명사,(홀하게) 얼굴이 넓죽한 사람,넓죽이는 제 적선 깡통을 흔들어 보였다.,
넛할미,비어,연령,명사,(낮추어) 넛할머니,아내가 고뿔 덴 넛할미 마냥 쪼르르 말대답을 했다,
네기,욕설,감탄,감탄사,얹짢고 못마땅할 때 욕으로 하는 말,"즈덜은 네기, 첩년을 모두 둘씩 셋씩 읃어서 데리구 살먼서, 나넌 그냥 모르쇠이네그려!",
네기랄,욕설,감탄,"감탄사, 관형사",네기'를 강조하는 말,"""네기랄, 한강에 빠져두 주머니밖에 뜰 게 없는 인생이지만..""",
네깟년,욕설,지위,명사,네까짓 년'이라는 뜻으로 '하찮은 여자'를 욕으로 이른느 말,,
네깟놈,욕설,지위,명사,네까짓 놈'이라는 뜻으로 '하찮은 남자'를 욕으로 이른느 말,네깟 놈의 검술을 몇 분어치나 안다고,
네년,욕설,지위,대명사,여자를 맞대하여 욕으로 이르는 말,,
네놈,욕설,지위,대명사,남자를 맞대하여 욕으로 이르는 말,,
네눈박이,비어,외모,명사,(낮잡아) 안경을 쓴 사람,,빈도 확인
네다바이꾼,비어,언행,명사,(홀하게) 사람이나 물건을 가로채거나 사기치는 사람,"이런 병신 같응ㄴ 년, 그치는 여기서 유명한 색시 네다이바꾼이란 말야",빈도 확인
네미,욕설,감탄,감탄사,네어미'의 준말,,
네미랄,욕설,감탄,"감탄사, 관형사","네 어미와 할'이 준 말로, 못마땅할 때 욕으로 하는 말","네미랄, 나를 놀리고 있네'",
네밋,욕설,감탄,감탄사,네미'를 강조하는 말',그 속에 뎌진 니미가 살어 오네,
네발짐승,맥락,,명사,남자의 성기 따위가 없다는 뜻에서 '여자'를 놀리어 하는 말,,
네어미,욕설,감탄,감탄사,너의 어머니'라는 뜻을 남을 욕할 때 쓰는 말,,
네에미,욕설,감탄,감탄사,네어미'가 변한 말,"네에미, 사내자식이 바람 한번 잘못 피워갖고..",
네엔장맞일,욕설,감탄,"감탄사, 관형사",넨장맞을'의 사동,,
네편네,비어,지위,명사,'= 여편네,,
넨장,욕설,감탄,감탄사,"네 난장'의 뜻으로, 못마땅할 때 욕으로 하는 말",넨장 무던히도 처먹기 좋아하는가 봐요,
넨장맞을,욕설,감탄,"감탄사, 관형사",네 난장을 맞을'이라는 뜻으로 못마땅할 때 욕으로 하는 말,"""넨장맞을! 똥누기가 무섭다고 굶을 수도 없고 말야""",
넨장칠,욕설,감탄,"감탄사, 관형사",'= 넨장할',,
넨장할,욕설,감탄,"감탄사, 관형사","네 난장을 할'의 뜻으로, 못마땅할 때 욕으로 하는 말",,
넹장,욕설,감탄,감탄사,'= 넨장할',"넹장, 쐬주 살돈도 궁해서 쩔쩔매는 요즘이다",
녀러것,욕설,태도,명사,(낮잡아) 하찮은 나머지 것,저 굴 속에 사는 녀러것들은 딴에들은 도라도 하는 것을 날개 밑에 온기스러이 간직하는 물총새나 갈매기 같은 것들이 아닌 듯하고~,
녀석,맥락,,의존명사,(욕으로) 남자,,
년,욕설,지위,의존명사,(욕으로) 여자,남수의 이에서는 '이년' 소리가 나왔다,
노가다,맥락,,명사,"(속되게) 공사판에서 하는 막일, 또는 그러한 노동자",계속 노가다라 느끼는지도 모르지요,
노객,비어,연령,명사,(얕잡아) 늙은 사람,,
노고,비어,연령,명사,= 할미,,
노까리다,비어,행동,동사,(속되게) 잡담하다,이렇게 계집애들은 재잘재잘 노까리다가는 결국 복네에게 불똥을 떨구고야 말았다,
노라리,비어,언행/행동,명사,(홀하게) 건들거리며 노는 사람이나 행동,이러한 빈약한 문화를 가지고 조선 사람은 남보다 더 노라리 생활을 한다고 하던 한 선생의 말이 생각났다.,빈도확인
노란놈,비어,외모/출신,명사,(욕으로) 유색인,노란놈들은 이해할 수 없단 말야.,빈도확인
노랑방통이,비어,외모,명사,= 노랑통이,"고 작은 창자를 채지 못해서 노랑봉퉁(통)이가 돼 가지구 울다울다 지쳐 늘어진 걸 보면, 눈에서, 이 아비놈의 눈에서 피눈물이 나네 그려.",
노랑통이,비어,외모,명사,"(얕잡아) 얼굴 따위가 노랗고 부석부석한 사람'= 노랑방퉁이, 누렁퉁이","망할 노랑통이가 여전히 이불을 쓰고 끙,끙, 누웠다 . 노란 낯짝이 광대뼈가  툭 불거진게 어제만도 더 못한 것 같다.",빈도확인
노래쟁이,비어,직업,명사,(낮잡아) 가수,그는 아버지가 점잖은 집안에 노래쟁이가 웬 말이냐며 반대하시는 바람에 가수의 꿈을 접어야만 했다.,빈도확인
노름꾼,비어,직업,명사,(홀하게) 노름을 전문으로 하는 사람,노름꾼들은 새벽녘까지 투전을 뽑기에 정신없었다.,
노리개첩,비어,이성교제/지위,명사,(홀하게) 노리개처럼 데리고 사는 첩,"품자리에 든 노리개첩 둥글개첩두 후살이 온  혼지집만밖에 않다던디, 뎁세 막운마저 닿구 보면 취미가 열두 가지 취민들 무슨 재밋성이 있을 껴.",빈도확인
노물,비어,연령,명사,(얕잡아) 늙어서 쓸모없는 사람,수양의 성격으로 보아서 자기네 같은 노물들은 내쫓을 듯한 점도 부인할 수 없었다.,
노박이,비어,언행,명사,(홀하게) 늘 한곳에서만 박혀 사는 사람,병시 어메가 동네 노박이들이나 뀌꿈맞게 쓰는 오타 엄니로 아내를 부른 것도 아마 그때가 처음이었을 것이다.,
노배,비어,지위,명사,"'놈들', '자식들'의 뜻으로, 남을 얕잡아 이르는 말.",,
노예근성,욕설,추상물,명사,(욕으로) 남의 것이 좋다고 그것을 따르는 사람,국어순화론자들이 외국어 남용자들더라 '노예근성'이라고 비난하는 것은 정말 지독한 욕임에 틀림없다.,
노인네,비어,연령,명사,(홀하게) 나이가 많은 사람,야속한 일이다. 다른 집 노인네는 이롱증도 계시더구만 우리 집 노인네는 늙으실사록 귀가 점점 더 밝아지시나 부다.,
노친네,비어,연령,명사,(홀하게) 노인,"""저, 노친네 저기 오네."" 억만이 어이없는 얼굴로 말하였다.",
노털,비어,연령,명사,(낮잡아) 노인,"응 학삐리 호구 쳐서 후리학구 먹었고, 노털은 얼마나 짜게 노는지 뿌리 뽑을려구 했는데 불쌍해서 봐줬어.",
논다니,비어,직업,명사,(욕으로) 웃음과 몸을 파는 여자,그네가 실상은 저 까마득한 남쪽 바다 흑산도라는 섬 지방의 논다니 지친 것이었는데 우연히 그 섬에 들른 겐짱 박씨와 눈이 맞아 뭍으로 나오게 됐다고들 했다.,
논두렁,맥락,,명사,(얕잡아) 농사일을 하는 사람,"같잖은 논두렁 주제에 되잖은 주둥이질 그만 하고, 보리 반지기 문내 나는 쌀이래두 보상해주면 황감해서라두 국으로 있어라.",
놀림가마리,비어,기타,명사,(얕잡아) 남의 놀림감이 되는 사람,그런 개가죽을 쓴 놈두 있나. 남의 놀림가(까)마리 되는 게 그렇게 좋담.,
놈,욕설,지위,명사,(욕으로) 사내 / 어떤 대상을 홀하게 이르는 말 ,이놈 이 역적을 할 놈 / 글씨 어떤 놈의 소리가 금방 엊저녁까지 들리던 소리가 오널사말구 시급스럽게 안들리넝고?,
놈씨,욕설,지위,명사,(낮잡아) 사내 / (낮잡아) 남편 / (낮잡아) 애인,"홀에나 나갈까, 아니면 놈씨나 하나 잡을까. ",
놈치,욕설,지위,명사,=  놈씨,,
놈팡이,비어,지위/태도,명사,"(홀하게) 사내, 또는 직업 없이 빈둥거리며 노는 사람 / (홀하게) 여자의 상대가 되고 있는 사내",결혼하자구 지근지근 쫒아댕기는 놈팡(팽)이가 얼만 줄 압네까? / 그런데 놈팡(팽)이가 우리 둘이 이러는 줄 알면 여북 속이 상할까?,
농돌이,비어,직업,명사,(홀하게) 농사짓는 젊은 사람,,
