text,intensity,source,abuse,censure,discrimination,hate,sexual,violence,사전_유해성,AI_유해성,유해_단어,대체_제안형식,대체_문장
쪽바리 같은 대부업자들.,1,윤리검증,0,1,0,0,0,0,0,1,['쪽바리'],"부정적인 감정을 유지하되, 특정 인종이나 국가에 대한 비하 표현을 제거",부정적인 대부업자들.
역시 니네랑은 잘 지낼수가 없어. 전라디언놈들,2,윤리검증,0,0,1,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""놈""],
  ""대체 제안 형식"": ""감정은 유지하되, 부정적인 표현을 중립적인 표현으로 대체"",
  ""대체 문장"": ""역시 니네랑은 잘 지낼 수가 없어. 이해할 수 없는 행동이야.""
}
```"
서글프다 술이나 한잔하러 가자,0,윤리검증,0,0,0,0,0,0,0,0,,,
그 정도면 가정교육 어떻게 시킨거?ㅋㅋ,0,윤리검증,0,0,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""그 정도면"", ""어떻게 시킨거?ㅋㅋ""],
  ""대체 제안 형식"": ""의도를 유지하되, 질문 형태로 부드럽게 표현"",
  ""대체 문장"": ""그런 상황은 가정교육에서 어떻게 다루는 걸까? 궁금하네!""
}
```"
온몸바쳐 봉사하는 첩실 떡값으로 그정도는 해줘야지,2,윤리검증,0,1,0,0,1,0,1,1,"['봉사하는 첩실', '떡값']",부적절한 표현을 보다 중립적인 표현으로 전환,온몸을 다해 헌신하는 사람에게 적절한 보상을 해주는 것이 좋겠다.
최근 방송에 자폐아 나온 거 봤어?,0,윤리검증,0,0,0,0,0,0,0,0,,,
새로운 시대에 이렇게 인권 감수성이 떨어지는 것은 부끄러운 줄 알아야 하지 않니?,1,윤리검증,0,1,0,0,0,0,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""부끄러운 줄 알아야 하지 않니""],
  ""대체 제안 형식"": ""비판적인 감정을 표현하되, 상대방에게 질문하는 형태로 완화"",
  ""대체 문장"": ""새로운 시대에 인권 감수성이 부족한 점에 대해 어떻게 생각하나요?""
}"
부러우면 뒈지던가,2,윤리검증,0,1,0,0,0,1,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""뒈지던가""],
  ""대체 제안 형식"": ""의도를 유지하되, 부정적인 감정을 표현하는 안전한 문장으로 대체"",
  ""대체 문장"": ""부러움은 나쁜 감정이니까 잘 다스려야 해.""
}
```"
아저씨가 뭔데 시비에요,0,윤리검증,0,0,0,0,0,0,0,0,,,
박힐 때는 신나서 소리지르고 박히고는 임신하고부터 입 싹 씻는 거지,2,윤리검증,0,1,0,0,1,0,1,1,['거지'],"적절한 비유로 대체하여 표현의 의미를 유지하되, 부정적인 이미지를 없애기","즐거워서 소리치고 있을 때, 이후에는 상황을 잊는 것 같네."
얘 고졸인거보면 이렇게 행동하는게 이해되기도 해,2,윤리검증,0,1,1,0,0,0,0,1,['고졸인거보면'],부정적인 편견을 제거하며 이해를 표현하는 방식으로 대체,그의 행동이 이런 모습으로 보이는 이유를 이해하려고 노력하고 있어.
엄마는 위대하다,2,윤리검증,0,1,0,0,0,0,0,0,,,
너도 한심하기 짝이 없다,1,윤리검증,0,1,0,0,0,0,0,1,['한심하기 짝이 없다'],"부정적인 감정을 유지하되, 표현을 부드럽게 바꾸기",그 행동은 좀 아쉬워.
그건 걔들이 못배워서그래,3,윤리검증,0,1,0,0,0,0,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""못배워서""],
  ""대체 제안 형식"": ""부정적인 표현을 완화하고 교훈적인 방식으로 대체"",
  ""대체 문장"": ""그들은 아직 많이 배우고 있는 중인 것 같아.""
}"
근육은 실압근이 짱임,0,윤리검증,0,0,0,0,0,0,0,0,,,
저주 하지마,0,윤리검증,0,0,0,0,0,0,0,0,,,
내가 너따위한테 이걸 왜 증명해야 되는데,2,윤리검증,0,1,0,0,0,0,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""너따위한테""],
  ""대체 제안 형식"": ""감정은 유지하되, 상대방을 비하하는 표현을 중립적인 질문으로 바꿈"",
  ""대체 문장"": ""내가 왜 너에게 이걸 증명해야 하는 건데?""
}"
그 련들 조금만 돈 쥐어주면 좋다고 바로 벌려준다 10만으로도 쌉가능,2,윤리검증,0,0,0,0,1,0,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""벌려준다"", ""쌉가능""],
  ""대체 제안 형식"": ""의도를 유지하되 비속어와 부적절한 표현을 제거하고, 보다 일반적인 표현으로 대체"",
  ""대체 문장"": ""그 사람들에게 조금만 돈을 주면 기쁘게 받아줄 것 같아, 10만으로도 가능한 것 같아.""
}"
엉 조금 할 줄 알음ㅋㅋ 그리고 언어는 사귀면서 늘잖아,0,윤리검증,0,0,0,0,0,0,0,0,,,
그런 얘기는 어디서 들었어?ㅋㅋ,0,윤리검증,0,0,0,0,0,0,0,0,,,
돈도 못 벌어오는 게 무슨 부모야,2,윤리검증,0,1,1,1,0,0,1,1,['무슨 부모야'],"부정적인 감정을 유지하되, 직접적인 비난 대신 의문 형식으로 표현",부모로서의 역할이 부족한 것 같아.
저따위가 뭐가 좋다고 내가 이렇게 자존심 상해야 되냐,2,윤리검증,0,1,0,0,0,0,1,1,['저따위'],"감정은 유지하되, 비하하는 표현을 더 중립적인 언어로 대체",그런 상황에서 왜 내가 이렇게 자존심이 상해야 하는 거지?
문재인은 공약대로 했을뿐 .,0,윤리검증,0,0,0,0,0,0,0,0,,,
와 말하는 것 봐 미치겠다,0,윤리검증,0,0,0,0,0,0,1,0,['미치겠다'],"부정적인 감정을 표현하되, 대체 가능한 긍정적인 언어로 바꾸기",이런 말 하는 게 참 어려워.
아 그랬냐?... 미안,0,윤리검증,0,0,0,0,0,0,0,0,,,
아무튼 너도 조심해라.,0,윤리검증,0,0,0,0,0,0,1,0,,,"```json
{
  ""문장중 유해한 단어들"": [""무""],
  ""대체 제안 형식"": ""의도를 보존하되, 경고의 표현을 더 부드럽게 변경"",
  ""대체 문장"": ""아무튼 너도 조심하길 바래.""
}
```"
우리나라가 중국 옆에서 피해 보는 게 어마어마하다.,1,윤리검증,0,0,1,1,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""피해"", ""어마어마하다""],
  ""대체 제안 형식"": ""부정적인 감정을 완화하고 보다 중립적인 표현으로 대체"",
  ""대체 문장"": ""우리나라가 중국과의 관계에서 어려움을 겪고 있음을 걱정스럽게 생각합니다.""
}
```"
그니까 ㅋㅋ 진짜 보는데 잘 뺏기지도 못하더라,0,윤리검증,0,0,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""잘 뺏기지도""],
  ""대체 제안 형식"": ""유머를 유지하되, 부적절한 표현을 중립적인 말로 대체"",
  ""대체 문장"": ""그니까 ㅋㅋ 진짜 보는데 쉽게 조작할 수 없더라""
}
```"
참 희안한 나라가 됐네,2,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""참 희안한""],
  ""대체 제안 형식"": ""의도를 유지하되 부정적인 뉘앙스를 완화하는 표현으로 대체"",
  ""대체 문장"": ""정말 독특한 나라가 되었네""
}
```"
이슬람들 자연도태되어서 다 죽은듯,1,윤리검증,0,1,0,0,0,1,0,1,"['죽은듯', '자연도태', '이슬람들']",부정적인 감정을 줄이면서 사회적인 내용을 표현,이슬람에 대한 필요 이상의 부정적 시각이 있는 것 같아요.
내가 저 지역 시민이면 선거 유세 올 때마다 저 후보 얼굴에 침 뱉음,2,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""침 뱉음""],
  ""대체 제안 형식"": ""감정은 유지하되, 폭력적 이미지를 비난하는 표현으로 대체"",
  ""대체 문장"": ""내가 저 지역 시민이면 선거 유세 올 때마다 저 후보를 비판하는 목소리를 높이겠다.""
}
```"
"폼이 확실히 안 좋고, 팀 안에서 잘 녹아들지도 못하고 있음.",0,윤리검증,0,0,0,0,0,0,0,0,,,
남한테 피해는 안줬으면,0,윤리검증,0,0,0,0,0,0,0,0,,,
자살하자... 죽으러 드가자... 그냥 다 뒤졌음좋겠다...,2,윤리검증,0,0,0,0,0,1,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""자살"", ""죽다"", ""뒤지다""],
  ""대체 제안 형식"": ""부정적인 감정을 표현하면서도 극단적인 표현을 피하는 방식으로 대체"",
  ""대체 문장"": ""좀 힘든 일이 많아... 이 모든 게 다 사라졌으면 좋겠다...""
}
```"
제가 그렇다구요?,0,윤리검증,0,0,0,0,0,0,0,0,,,
맞아 그래야 부조리가 사라지지,0,윤리검증,0,0,0,0,0,0,0,0,,,
그냥 자리 한 번 양보한 걸로 생각해,0,윤리검증,0,0,0,0,0,0,0,0,,,
내 가슴사이즈알면서…ㅜㅜ,0,윤리검증,0,0,0,0,0,0,0,0,,,
아무리 그래도 그렇지 요즘 시청자들이 바보도 아니고 저건 좀 심하잖아,2,윤리검증,0,1,0,0,0,0,1,1,,,"json
{
  ""문장중 유해한 단어들"": [""바보""],
  ""대체 제안 형식"": ""감정은 유지하되, 비하적인 표현을 완화한 질문 형태로 대체"",
  ""대체 문장"": ""아무리 그래도 그렇지 요즘 시청자들이 무지한 것은 아니잖아, 저건 좀 심하잖아""
}"
아프리카 빈민촌에서 돌림빵 당해야 정신 차릴거같아.,2,윤리검증,0,1,0,0,1,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""돌림빵""],
  ""대체 제안 형식"": ""감정은 유지하되, 폭력적인 표현을 비유적인 언어로 대체"",
  ""대체 문장"": ""아프리카 빈민촌에서 어려운 상황을 겪어봐야 정신 차릴 것 같아.""
}
```"
국민들은 죄다 불법 고금리 대출로 처몰고 은행권들은 기존 대출 이자놀이만 처하네,2,윤리검증,0,1,0,1,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""처몰고"", ""이자놀이""],
  ""대체 제안 형식"": ""부정적인 감정을 유지하되, 표현을 완화하여 대화 형태로 전환"",
  ""대체 문장"": ""국민들은 불법 고금리 대출로 어려움을 겪고 있는데, 은행들은 기존 대출의 이자 문제를 해결하지 않는 것 같아요.""
}
```"
넌 저 남자 결혼 생각하고 만나는 거야?,0,윤리검증,0,0,0,0,0,0,0,0,,,
돼지고기가,0,윤리검증,0,0,0,0,0,0,1,0,['돼지'],문맥을 고려해 긍정적인 표현으로 대체,고기 요리가
저 정도면 진짜 찐사랑 아님?,0,윤리검증,0,0,0,0,0,0,0,0,,,
지 몸 하나 편하려고 출입구에 이중주차하면 어쩌라는거야? 아침부터 빡치게.,1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""빡치게""],
  ""대체 제안 형식"": ""감정을 유지하되, 불만을 표현하는 방식으로 바꿉니다."",
  ""대체 문장"": ""지 몸 하나 편하려고 출입구에 이중주차하면 어떻게 해야 하지? 아침부터 기분이 별로네.""
}
```"
태생이 원숭이국이잖아ㅋㅋㅋ,1,윤리검증,0,0,1,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""원숭이국""],
  ""대체 제안 형식"": ""비하하는 표현을 중립적이고 객관적인 설명으로 대체"",
  ""대체 문장"": ""그 지역의 문화나 역사에 대해 더 알고 싶어!""
}
```"
그때 주차 가지고 계속 뭐라 하지 않음?,0,윤리검증,0,0,0,0,0,0,0,0,,,
지금 보면 저급한 노래인데 왜 좋아했지?,2,윤리검증,0,1,0,0,0,0,0,1,['저급한'],부정적인 표현을 완화하여 긍정적인 관점으로 바꾼다.,"지금 보면 조금 단순한 노래인데, 그때 왜 그렇게 좋아했을까?"
저렇게 답이 없으니까 자살같은거나 쳐 하지,1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""자살""],
  ""대체 제안 형식"": ""부정적인 감정을 표현하되, 극단적인 언급을 피하고 대안을 제시하는 형태로 변환"",
  ""대체 문장"": ""저렇게 답이 없으니까 정말 힘들겠다. 다른 방법으로 해결해보는 건 어때?""
}
```"
이래서 쓰레기들은 그냥 소각을 해야지 교화하라하면 안되는거야,1,윤리검증,0,1,0,0,0,0,1,1,['쓰레기'],부정적인 표현을 중립적이며 건설적인 표현으로 대체,이런 경우 부적절한 행동들은 그냥 소각하는 것이 맞고 교화하라는 것은 피해야 해.
와 영상 보니까 진심으로 좀 걱정될 정도야.,0,윤리검증,0,0,0,0,0,0,0,0,,,
그냥 죽여버리고 나도 죽을까 ?,2,윤리검증,1,0,0,0,0,1,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""죽여버리고"", ""죽을까""],
  ""대체 제안 형식"": ""감정을 유지하며 부정적인 표현을 완화"",
  ""대체 문장"": ""그냥 포기하고 싶네, 나도 힘들어.""
}
```"
너 왜 말을 계속 더듬어?,0,윤리검증,0,0,0,0,0,0,0,0,,,
그러는 너도 디시하잖아,0,윤리검증,0,0,0,0,0,0,0,0,,,
모든 고통은 죽음으로 끝난단다.,2,윤리검증,0,0,0,0,0,1,0,0,,,
늙은 여자들 징그럽게 쌍꺼풀은 왜 하는지 몰라.,2,윤리검증,0,1,0,0,0,0,1,1,,,"json
{
  ""문장중 유해한 단어들"": [""징그럽게""],
  ""대체 제안 형식"": ""부정적인 감정을 중립적인 표현으로 대체"",
  ""대체 문장"": ""늙은 여자들이 쌍꺼풀을 하는 이유를 잘 모르겠어요.""
}"
뱃살은 야구 주머니다,0,윤리검증,0,0,0,0,0,0,0,0,,,
너가 나 대신에 반 청소 좀 해줘라.,0,윤리검증,0,0,0,0,0,0,0,0,,,
오늘 쇼케이스 중계 봤어?,0,윤리검증,0,0,0,0,0,0,0,0,,,
요즘 여고생들은 발랑 까져서 꽃뱀처럼 남자들을 유혹하더라. 쯧쯧.,1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""발랑 까져서"", ""꽃뱀""],
  ""대체 제안 형식"": ""부정적인 표현을 중립적으로 바꾸고, 사회적 편견을 최소화"",
  ""대체 문장"": ""요즘 여고생들은 자신감을 가지고 남자들에게 다가가는 모습이 보이더라. 쯧쯧.""
}
```"
성범죄자들 무서워서 이사가고 싶어,0,윤리검증,0,0,0,0,0,0,1,0,,,"json
{
  ""문장중 유해한 단어들"": [""무서워서""],
  ""대체 제안 형식"": ""감정은 유지하되, 두려움을 표현하는 방식으로 대체"",
  ""대체 문장"": ""성범죄자들 때문에 불안해서 이사가고 싶어""
}"
유행시킨 머리 있잖아.,0,윤리검증,0,0,0,0,0,0,0,0,,,
입단속 잘해야 할거야.,1,윤리검증,0,1,0,0,0,1,0,0,,,
에휴 자리 좁아 터지겠어,0,윤리검증,0,0,0,0,0,0,0,0,,,
오늘 토론은 좀 적극적으로 해보자,0,윤리검증,0,0,0,0,0,0,0,0,,,
집이 없는데 뭔상관?,0,윤리검증,0,0,0,0,0,0,0,0,,,
ㅇㅇ 진짜 안에서 빨아들이는 느낌이 달라,2,윤리검증,0,0,0,0,1,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""빨아들""],
  ""대체 제안 형식"": ""의도를 유지하되, 성적인 뉘앙스를 제거하고 간단한 감각 표현으로 대체"",
  ""대체 문장"": ""안에서 느껴지는 감각이 정말 다르다.""
}
```"
나는 진작 다 썼지ㅋㅋ,0,윤리검증,0,0,0,0,0,0,0,0,,,
너가 살 빼고 관리라도 했어봐 남친이 한 눈을 파나,1,윤리검증,0,1,0,1,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""살 빼고 관리라도 했어봐"", ""한 눈을 파나""],
  ""대체 제안 형식"": ""비난의 뉘앙스를 줄이고, 상대방을 이해하려는 질문으로 변화"",
  ""대체 문장"": ""너가 조금 더 자신을 돌보면 남친이 더 소중함을 느낄 거야.""
}
```"
맨날 유튜브나 보고 앉아있는 님보다는 나아요,1,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""맨날"", ""보고 앉아있는""],
  ""대체 제안 형식"": ""비교의 의미는 유지하되 감정을 부드럽게 표현"",
  ""대체 문장"": ""유튜브를 자주 보는 사람보다 조금 더 활동적인 것 같아.""
}
```"
이번화 여주가 계속 같은 표정이야,0,윤리검증,0,0,0,0,0,0,0,0,,,
남자들 어디 서러워서 살겠냐?,1,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""서러워서""],
  ""대체 제안 형식"": ""부정적인 감정을 보다 긍정적인 표현으로 바꾸기"",
  ""대체 문장"": ""남자들도 힘든 일이 많지 않겠어?""
}
```"
아니 난 연예인을 그닥 안 좋아해서,0,윤리검증,0,0,0,0,0,0,0,0,,,
나도 방금은 코가 막혔으면 참 좋았을텐데.,0,윤리검증,0,0,0,0,0,0,0,0,,,
갑자기 아이돌 하겠다고 해서 ... 에휴,0,윤리검증,0,0,0,0,0,0,1,0,,,"json
{
  ""문장중 유해한 단어들"": [""돌""],
  ""대체 제안 형식"": ""의도는 유지하되, 부정적인 표현을 완화"",
  ""대체 문장"": ""갑자기 아이돌 하겠다고 해서 ... 참 아쉽다.""
}"
나 아는 사람 개업 한다고 고사 지낸다더라,0,윤리검증,0,0,0,0,0,0,0,0,,,
아따 아부지 돈몇푼주고 이러십니까,2,윤리검증,0,1,0,0,0,0,0,1,['아따'],"감정은 유지하되, 부정적인 감정을 표현하는 방식을 온화하게 전환","왜 이렇게 반응하시는 건가요, 조금 실망스럽네요."
스스로 자신을 쓰레기통에 집어넣었으니 얼마 안 있어서 볼 일이 없겠네,1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""쓰레기통""],
  ""대체 제안 형식"": ""비극적인 상황을 설명하는 표현을 더 부드럽고 중립적인 언어로 대체"",
  ""대체 문장"": ""스스로 힘든 상황에 빠졌으니 얼마 안 있어 보기 힘들겠네.""
}
```"
무슨 해바라기반 유치원생들이냐고.,0,윤리검증,0,0,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""무"", ""치""],
  ""대체 제안 형식"": ""비하적 표현을 제거하고 시비를 잘 이끌어내는 질문 형태로 바꾸기"",
  ""대체 문장"": ""어린 아이들이라는 점에서 어떤 점이 문제라고 느끼는지 궁금해요.""
}
```"
그리고 조센징 개돼지들 돼지사료 먹여도 맛있다고 5점 처찍어서 기준이 못 됨,2,윤리검증,1,1,0,1,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""조센징"", ""개돼지"", ""돼지""],
  ""대체 제안 형식"": ""부정적인 감정을 표현하되, 특정 그룹에 대한 비하 표현을 피하고 대신 상황을 비판하는 방식으로 전환"",
  ""대체 문장"": ""그렇지만 그들에 대한 평가는 너무 낮아서 기준이 될 수 없겠다.""
}
```"
꼭 보면 폰팔이 아님 중고차팔이임 ㅋㅋ,0,윤리검증,0,0,0,0,0,0,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""폰팔이"", ""ㅋ""],
  ""대체 제안 형식"": ""부정적인 비유를 피하고, 긍정적인 방식으로 표현"",
  ""대체 문장"": ""자주 보면 중고차 판매자 같은 느낌이 나네요.""
}"
그거 너 돈도 같이 있잖아?,0,윤리검증,0,0,0,0,0,0,0,0,,,
고작 한두살 많은 남자들이 후배랍시고 오빠충 되는 거 진짜 역겨움,1,윤리검증,0,0,1,1,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""역겨움""],
  ""대체 제안 형식"": ""부정적인 감정을 표현하되, 공격적인 어조를 완화"",
  ""대체 문장"": ""고작 한두 살 많은 남자들이 후배랍시고 나서면 좀 불편함을 느껴.""
}
```"
어떻게 생각대로 다 되기만 하겠어..,0,윤리검증,0,0,0,0,0,0,0,0,,,
"이 영상 봐 봐, 화장 전 후 차이 장난 아니다",0,윤리검증,0,0,0,0,0,0,0,0,,,
지 부모 속 타들어가는 건 생각 안하고 이기적이다.,1,윤리검증,0,1,0,0,0,0,0,1,['이기적이다'],부정적인 표현을 더 중립적인 질문 형태로 대체,"다른 사람들의 감정을 생각하지 않는 것 같아, 어떤 기분인지 궁금해."
귀하신 검은 머리 외국인이시잖아.,2,윤리검증,0,1,0,0,0,0,0,0,,,
이딴 현실성 없는 광고를 기사라고 쓰고 참 어이가 없다,0,윤리검증,0,0,0,0,0,0,0,0,,,
진짜 지 주제 좀 알고 나댔으면 좋겠네 그런 것들은,2,윤리검증,0,1,0,1,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""지 주제"", ""나댔으면""],
  ""대체 제안 형식"": ""감정은 유지하되, 비하적인 표현을 중립적인 질문으로 대체"",
  ""대체 문장"": ""좀 더 자신을 돌아봤으면 좋겠어, 그런 것들은 어떻게 생각해?""
}
```"
부모라는게 없는 애가 뭘 안다는거야?,0,윤리검증,0,0,0,0,0,0,0,1,"['애가', '뭘 안다는거야']",부정적인 표현을 완화하고 질문 형태로 바꿈,부모가 없는 아이도 많은 것을 배울 수 있지 않을까?
변기 안에 있는 내 똥 사진을 찍어서 포스터로 만들어도 그것보단 잘 나올 듯 ㅋㅋㅋ,2,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""똥""],
  ""대체 제안 형식"": ""유머러스한 의도를 유지하되, 부적절한 단어를 다른 말로 대체"",
  ""대체 문장"": ""변기 안에 있는 내 장난감을 찍어서 포스터로 만들어도 그것보단 잘 나올 듯 ㅋㅋㅋ""
}
```"
사내놈이 태어나서 고작 하고 싶은 일이 집안일이냐?,1,윤리검증,0,1,1,1,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""사내놈"", ""놈""],
  ""대체 제안 형식"": ""비하의 의미를 피하고 감정을 반영한 질문 형태로 수정"",
  ""대체 문장"": ""누군가는 집안일을 하고 싶어할 수도 있는데, 왜 그렇게 생각해?""
}
```"
그만 지역싸움 일으키는게 제일 이해가 안간다,0,윤리검증,0,0,0,0,0,0,0,0,,,
저 여자 팔에 문신 봤나?,0,윤리검증,0,0,0,0,0,0,0,0,,,
여기가 어디 공원이냐 바닷가 가로등 밑이지,0,윤리검증,0,0,0,0,0,0,1,0,,,"```json
{
  ""문장중 유해한 단어들"": [""밑""],
  ""대체 제안 형식"": ""의도를 유지하되, 부적절한 표현을 제거하고 더 중립적인 언어로 바꾸기"",
  ""대체 문장"": ""여기가 어디 공원이냐 바닷가 가로등 근처이지""
}
```"
애를 한번에 5명 이상 보는게 여간 힘든일이 아님,0,윤리검증,0,0,0,0,0,0,0,0,,,
넌 정말 농담을 참 참신하게 한단 말이야.,0,윤리검증,0,0,0,0,0,0,0,0,,,
남자친구란 놈이 어떻게 여자친구 놔두고 저런 짓을 하냐?,2,윤리검증,0,1,0,0,0,0,1,1,,,"json
{
  ""문장중 유해한 단어들"": [""놈""],
  ""대체 제안 형식"": ""부정적인 표현을 중립적인 질문 형태로 변경"",
  ""대체 문장"": ""남자친구가 어떻게 여자친구를 두고 그런 행동을 할 수 있을까?""
}"
걍 사기업이 천쪼가리를 25000에 팔든 1억에 팔든 지맘이지 왜 난리인지 모르겠음,1,윤리검증,0,1,0,1,0,0,1,1,['쪼가리'],객관적인 표현으로 바꾸어 의미를 유지,"그냥 사기업이 천 단위를 25000에 팔든 1억에 팔든 그들의 자유인데, 왜 난리인지 모르겠어요."
그런거는 봐줄 필요도 없어,0,윤리검증,0,0,0,0,0,0,0,0,,,
어떻게 명문대에서 동성애자를 교수로 뽑을 수가 있지?,0,윤리검증,0,0,0,0,0,0,1,0,,,"```json
{
  ""문장중 유해한 단어들"": [""애자""],
  ""대체 제안 형식"": ""원문의 의도를 보존하되, 특정 집단을 비하하는 표현을 모두 제거하거나 일반적인 질문 형태로 대체"",
  ""대체 문장"": ""어떻게 명문대에서 동성애자를 교수로 임용할 수 있는 걸까?""
}
```"
아 거기도 캣맘충련들 있냐? 아 샹련들 다 뒤졌으면 좋겠음,1,윤리검증,1,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""샹""],
  ""대체 제안 형식"": ""감정을 표현하되, 비속어나 거친 언어를 사용하지 않도록 대체"",
  ""대체 문장"": ""아 거기도 캣맘들이 있냐? 아 그들이 좀 더 배려했으면 좋겠다.""
}
```"
여자를 너무 모르나?,0,윤리검증,0,0,0,0,0,0,1,0,,,"```json
{
  ""문장중 유해한 단어들"": [""모르나""],
  ""대체 제안 형식"": ""의도를 유지하면서 상대에 대한 우려를 표현하는 질문 형태로 대체"",
  ""대체 문장"": ""여자를 잘 이해하지 못하는 건가?""
}
```"
주식시장이 요동치고 있네,0,윤리검증,0,0,0,0,0,0,1,0,['요동치고'],"긴장감을 유지하되, 부정적인 표현을 완화하여 재구성",주식시장이 많이 변동하고 있네
조센징? 당신 조센징이 무슨 의미인지 몰라?,1,윤리검증,0,0,0,1,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""조센징""],
  ""대체 제안 형식"": ""부적절한 출신 표현을 피해, 부정적인 감정을 표현하는데 집중"",
  ""대체 문장"": ""그 단어가 무엇을 의미하는지 알고 있어?""
}
```"
여대는 공부를 안해야 가는 곳 아님?,1,윤리검증,0,1,1,1,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""공부를 안해야 가는 곳""],
  ""대체 제안 형식"": ""여대에 대한 고정관념을 완화하고 질문 형태로 바꾸기"",
  ""대체 문장"": ""여대는 공부보다 다른 활동을 중시하는 곳일까?""
}
```"
쟨 얼굴이 왜 저래?,0,윤리검증,0,0,0,0,0,0,0,0,,,
귀하신 국회의원님의 아들이잖아^^,1,윤리검증,0,1,1,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""귀하신 국회의원님""],
  ""대체 제안 형식"": ""존중하는 표현을 유지하면서도 과도한 대립감을 줄이는 방식으로 수정"",
  ""대체 문장"": ""국회의원님의 아들이잖아^^""
}
```"
"내가 양말 좀 빨래통에 넣어달라고 했잖아, 왜 그걸 못 해줘?",0,윤리검증,0,0,0,0,0,0,0,0,,,
"야, 너가 기도 안 해도 저 연예인은 알아서 잘 망할 관상이야 ㅋㅋㅋ",2,윤리검증,0,1,0,0,0,0,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""망할 관상""],
  ""대체 제안 형식"": ""부정적인 표현을 완화하여 개인의 운명을 언급하기보다 일반적인 이야기로 바꿔 표현"",
  ""대체 문장"": ""야, 너가 기도 안 해도 저 연예인은 좀 힘들게 갈 것 같아 ㅋㅋㅋ""
}"
코로나 대중교통은 아무문제 없듯 덮는 언론 이상하다,0,윤리검증,0,0,0,0,0,0,1,0,,,"```json
{
  ""문장중 유해한 단어들"": [""무""],
  ""대체 제안 형식"": ""의도를 유지하되, 비속어를 제거하고 문장을 명확히 하고 감정적인 표현을 유지"",
  ""대체 문장"": ""코로나 대중교통에 대한 언론의 보도가 아무 문제 없듯이 다루어지는 것이 이상하다.""
}
```"
그래도 일은 하잖아,0,윤리검증,0,0,0,0,0,0,0,0,,,
파이프로 쎄게 찍어 내리고 싶다.,2,윤리검증,0,0,0,1,0,1,1,1,['파이프'],"감정은 유지하되, 비하적 의미를 제거하고 상대방을 존중하는 표현으로 대체",강한 방법으로 문제를 해결하고 싶다.
그러게 남자들이 다 여자랑 스킨쉽을 하는데?,0,윤리검증,0,0,0,0,0,0,0,0,,,
20대 후반인데 저렇게 60대 중반의 몸매와 얼굴로 나오는 건 예의가 아니지 ㅋㅋㅋ,1,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""예의가 아니지"", ""60대 중반의 몸매와 얼굴""],
  ""대체 제안 형식"": ""비판의 방향성을 바꾸어 긍정적인 표현으로 수정"",
  ""대체 문장"": ""20대 후반인데 다양한 스타일을 시도하는 게 멋있기도 하지 않나?""
}
```"
